NewsTitle,NewsDate,Region,Province,Department,Link_News
จังหวัดน่านจัดกิจกรรม “Kick Off สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ สร้างความมั่นใจร่วมกัน”,4/10/2021,ภาคเหนือ,น่าน,สวท.น่าน,https://thainews.prd.go.th/th/news/detail/TCATG211004120225825
จังหวัดกำแพงเพชร คิกออฟฉีดไฟเซอร์นักเรียน 300 คนสร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม,4/10/2021,ภาคกลางและปริมณฑล,กำแพงเพชร,สำนักงานประชาสัมพันธ์จังหวัดกำแพงเพชร,https://thainews.prd.go.th/th/news/detail/TCATG211004121311834
"โฆษกรัฐบาล เผย ""นายกฯ"" พอใจยอดผู้ติดเชื้อค่อย ๆ ลดลงต่อเนื่อง เผยพร้อมขาย ATK ชุดละ 40 บาท เริ่ม 18 ต.ค. นี้",4/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG211004121313835
นราธิวาสเริ่มฉีดวัคซีน Pfizer นักเรียนกลุ่มเป้าหมาย ล็อตแรก 4-17 ต.ค.64 ล็อต 2 18-23 ต.ค.64,4/10/2021,ภาคใต้,นราธิวาส,สวท.สุไหงโกลก จ.นราธิวาส,https://thainews.prd.go.th/th/news/detail/TCATG211004122542845
อำนาจเจริญ Kick Off ฉีดวัคซีน Pfizer ให้นักเรียน นักศึกษา อายุ 12-18 ปี “สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม”,4/10/2021,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,สำนักงานประชาสัมพันธ์จังหวัดอำนาจเจริญ,https://thainews.prd.go.th/th/news/detail/TCATG211004123825847
พิจิตร 1 ใน 16 จังหวัดทั่วประเทศ kick off ฉีดวัคซีน Pfizer วันแรกแก่เด็กนักเรียน สร้างเกราะป้องกันโควิดรับเปิดเทอม,4/10/2021,ภาคกลางและปริมณฑล,นครสวรรค์,สำนักงานประชาสัมพันธ์จังหวัดพิจิตร,https://thainews.prd.go.th/th/news/detail/TCATG211004135641883
คาด 2 สัปดาห์ กระจายวัคซีนไฟเซอร์ ให้นักเรียนกลุ่มเป้าหมาย 4 ล้านได้ครบ ,4/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211004145552915
จังหวัดพังงา ประชุมคณะกรรมการโรคติดต่อเพื่อติดตามสถานการณ์การแพร่ระบาดโควิด - 19,4/10/2021,ภาคใต้,พังงา,สำนักงานประชาสัมพันธ์จังหวัดพังงา,https://thainews.prd.go.th/th/news/detail/TCATG211004134152875
ดีเดย์  Kick Off ฉีดวัคซีน Pfizer ให้นักเรียน นักศึกษา อายุ 12-18 ปี จ.อำนาจเจริญ,4/10/2021,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,สวท.อำนาจเจริญ,https://thainews.prd.go.th/th/news/detail/TCATG211004141232891
จ.นครศรีธรรมราช Kick off สร้างเกราะป้องกันด้วยวัคซีน ต้อนรับเปิดเทอม,4/10/2021,ภาคใต้,นครศรีธรรมราช,สำนักงานประชาสัมพันธ์จังหวัดนครศรีธรรมราช,https://thainews.prd.go.th/th/news/detail/TCATG211004153350943
จังหวัดกาญจนบุรี Kick Off ฉีดวัคซีนไฟเซอร์ให้กับเด็กนักเรียน,4/10/2021,ภาคตะวันตก,กาญจนบุรี,สำนักงานประชาสัมพันธ์จังหวัดกาญจนบุรี,https://thainews.prd.go.th/th/news/detail/TCATG211004145827918
จังหวัดนครศรีธรรมราช Kick off ฉีดวัคชีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม เขตสุขภาพที่ 11,4/10/2021,ภาคใต้,นครศรีธรรมราช,สำนักงานประชาสัมพันธ์จังหวัดนครศรีธรรมราช,https://thainews.prd.go.th/th/news/detail/TCATG211004162655970
จังหวัดชัยนาท ดีเดย์ ฉีดวัคซีนโควิด-19 แก่นักเรียน สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม  ณ โรงเรียนราชประชาอนุเคราะห์ 46 ชัยนาท อ.เมืองชัยนาท จ.ชัยนาท,4/10/2021,ภาคกลางและปริมณฑล,ชัยนาท,สวท.ชัยนาท,https://thainews.prd.go.th/th/news/detail/TCATG211004151526927
