NewsTitle,NewsDate,Region,Province,Department,Link_News
จังหวัดสงขลา เตรียมฉีดวัคซีน Pfizer ให้นักเรียน นักศึกษา อายุ 12-18 ปี รองรับการเปิดภาคเรียนที่ 2/2564 พร้อมขยายเวลาห้ามเข้าพื้นที่เสี่ยงถึง 14 ตุลาคม 2564,29/9/2021,ภาคใต้,สงขลา,สำนักงานประชาสัมพันธ์จังหวัดสงขลา,https://thainews.prd.go.th/th/news/detail/TCATG210929102026432
จังหวัดสงขลา เปิดให้ลงทะเบียนรับวัคซีนเข็มที่ 3 สำหรับผู้ที่ได้รับวัคซีน Sinovac มาแล้ว 2 เข็ม 1 ตุลาคม นี้,29/9/2021,ภาคใต้,สงขลา,สวท.สงขลา,https://thainews.prd.go.th/th/news/detail/TCATG210929102259435
"วัคซีนไฟเซอร์ล็อตแรก 2,000,700 โดสถึงไทยแล้ว ย้ำทุกโดสจัดสรรตามแผนการฉีดให้เด็กอายุ 12-18 ปี",29/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210929101708428
จ.สงขลา เปิดให้ลงทะเบียนรับวัคซีนเข็ม 3 (กระตุ้น) วันที่ 1 ต.ค.64 สำหรับท่านที่เคยได้รับ Sinovac มาแล้ว 2 เข็ม,29/9/2021,ภาคใต้,สงขลา,สำนักงานประชาสัมพันธ์จังหวัดสงขลา,https://thainews.prd.go.th/th/news/detail/TCATG210929102618441
สอบวัดผลนักเรียน โรงเรียน จ.ยะลา ในรูปแบบออนไลน์ ก่อนปิดเทอม เตรียมพร้อมฉีดวัคซีนไฟเซอร์,29/9/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG210929102507439
ผู้ปกครองนักเรียนจังหวัดตรัง  ตอบรับการฉีดวัคซีนไฟเซอร์ให้กับนักเรียน    กว่าร้อยละ 90 ของกลุ่มเป้าหมาย,29/9/2021,ภาคใต้,ตรัง,สวท.ตรัง,https://thainews.prd.go.th/th/news/detail/TCATG210929130131550
ผู้ว่าราชการจังหวัดตรัง  ขอให้นายอำเภอทั้ง 10 อำเภอของจังหวัดตรัง  เตรียมความพร้อมสถานที่สำหรับการฉีดวัคซีนไฟเซอร์ให้กับนักเรียน,29/9/2021,ภาคใต้,ตรัง,สำนักงานประชาสัมพันธ์จังหวัดตรัง,https://thainews.prd.go.th/th/news/detail/TCATG210929130836556
จันทบุรี ผู้ปกครองยินยอมให้บุตรหลานฉีดไฟเซอร์เกินกว่าร้อยละ 85 เตรียมพร้อมเปิดเทอม,29/9/2021,ภาคตะวันออก,จันทบุรี,สำนักงานประชาสัมพันธ์จังหวัดจันทบุรี,https://thainews.prd.go.th/th/news/detail/TCATG210929135435582
เตรียมคืนพื้นที่ CI ในสถานศึกษา จังหวัดกาฬสินธุ์,29/9/2021,ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,สำนักงานประชาสัมพันธ์จังหวัดกาฬสินธุ์,https://thainews.prd.go.th/th/news/detail/TCATG210929175552721
หน่วยงานที่เกี่ยวข้องของสหรัฐเตรียมเปิดเผยข้อมูลความปลอดภัยและประสิทธิภาพของการฉีดวัคซีน เข็มกระตุ้นสูตรไขว้ภายใน 2 สัปดาห์ข้างหน้า,29/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210929173233711
ผลการศึกษาในสวีเดนชี้ว่า ระดับแอนติบอดีลดลงเร็วกว่าคาด หลังฉีดวัคซีนโควิด-19ครบสองโดส,29/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210929173240712
"สธ.เซ็นสัญญาซื้อวัคซีนแอสตร้าเซนเนก้า 60 ล้านโดส วงเงินประมาณ 18,000 ล้านบาท ",29/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210929200930791
ประมวลข่าวทั่วไทยประจำวันที่ 29 กันยายน 2564,29/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210929185256755
วัคซีนไฟเซอร์ 30 ล้านโดส ถึงไทยแล้วล็อตแรก 2 ล้านโดส,29/9/2021,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,สวท.อำนาจเจริญ,https://thainews.prd.go.th/th/news/detail/TCATG210930001620822
จ.พิษณุโลก เตรียมฉีดวัคซีนโควิด-19 (Pfizer) สำหรับนักเรียน นักศึกษา อายุ 12-18 ปี รองรับการเปิดภาคเรียนที่ 22564,30/9/2021,ภาคเหนือ,พิษณุโลก,สวท.พิษณุโลก,https://thainews.prd.go.th/th/news/detail/TCATG210930084941839
จ.พิษณุโลก เตรียมฉีดวัคซีนโควิด-19 (Pfizer) สำหรับนักเรียน นักศึกษา อายุ 12-18 ปี รองรับการเปิดภาคเรียนที่ 22564,30/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สวท.พิษณุโลก,https://thainews.prd.go.th/th/news/detail/TCATG210930203006203
ชาวยะลา ทยอยรับเข็ม 2 แอสตร้า ปิดท้ายกันยายน ขณะ สสจ.ยะลา ขอรับจัดสรรวัคซีน กว่าสามหมื่นโดส ฉีดนักเรียน,30/9/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG210930093955850
สีสันรวมพลังฉีดวัคซีน ยะลา,30/9/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG210930110455903
วัคซีนไฟเซอร์ 30 ล้านโดส ถึงไทยแล้วล็อตแรก 2 ล้านโดส,30/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210929120045506
จ.สตูล ประชุมเพื่อกำหนดแนวทางการฉีดวัคซีนไฟเซอร์ให้แก่นักเรียนนักศึกษา อายุ 12 – 18 ปี,30/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สำนักงานประชาสัมพันธ์จังหวัดสตูล,https://thainews.prd.go.th/th/news/detail/TCATG210930174414130
จังหวัดแพร่ประชุมคณะกรรมการโรคติดต่อ ครั้งที่ 32/2564 ร่วมกับคณะทำงานศูนย์ปฏิบัติการควบคุมโรคจังหวัด (ศปก.จ.แพร่) หน่วยงานภาครัฐและเอกชนที่เกี่ยวข้อง,30/9/2021,ภาคเหนือ,แพร่,สำนักงานประชาสัมพันธ์จังหวัดแพร่,https://thainews.prd.go.th/th/news/detail/TCATG210930175526145
"นักเรียนใน จ.อุตรดิตถ์ กว่า 24,000 คน พร้อมฉีดวัคซีนไฟเซอร์ หลังได้รับความยินยอมจากผู้ปกครอง",30/9/2021,ภาคเหนือ,อุตรดิตถ์,สวท.อุตรดิตถ์,https://thainews.prd.go.th/th/news/detail/TCATG210930184405166
